Vertices,Edges,Elapsed Time,Key Comparisons
100,200,0.000080,10000
100,2400,0.000100,10000
100,4900,0.000120,10000
100,7400,0.000110,10000
100,9900,0.000070,10000
200,400,0.000245,40000
200,9800,0.000380,40000
200,19800,0.000450,40000
200,29800,0.000385,40000
200,39800,0.000275,40000
300,600,0.000553,90000
300,22200,0.000810,90000
300,44700,0.000943,90000
300,67200,0.000767,90000
300,89700,0.000553,90000
400,800,0.000865,160000
400,39600,0.001475,160000
400,79600,0.001672,160000
400,119600,0.001290,160000
400,159600,0.000950,160000
500,1000,0.001302,250000
500,62000,0.002252,250000
500,124500,0.002566,250000
500,187000,0.001990,250000
500,249500,0.001472,250000
600,1200,0.001878,360000
600,89400,0.003170,360000
600,179400,0.003568,360000
600,269400,0.002812,360000
600,359400,0.002210,360000
700,1400,0.002489,490000
700,121800,0.004224,490000
700,244300,0.004534,490000
700,366800,0.003727,490000
700,489300,0.002774,490000
800,1600,0.003283,640000
800,159200,0.005231,640000
800,319200,0.005881,640000
800,479200,0.004855,640000
800,639200,0.003642,640000
900,1800,0.004101,810000
900,201600,0.006587,810000
900,404100,0.007316,810000
900,606600,0.006039,810000
900,809100,0.004627,810000
1000,2000,0.005043,1000000
1000,249000,0.007798,1000000
1000,499000,0.008926,1000000
1000,749000,0.007472,1000000
1000,999000,0.005679,1000000
1100,2200,0.006133,1210000
1100,301400,0.009148,1210000
1100,603900,0.010765,1210000
1100,906400,0.009005,1210000
1100,1208900,0.006779,1210000
1200,2400,0.007225,1440000
1200,358800,0.010683,1440000
1200,718800,0.012705,1440000
1200,1078800,0.010619,1440000
1200,1438800,0.008103,1440000
1300,2600,0.008513,1690000
1300,421200,0.012655,1690000
1300,843700,0.015056,1690000
1300,1266200,0.012387,1690000
1300,1688700,0.009450,1690000
1400,2800,0.009889,1960000
1400,488600,0.014351,1960000
1400,978600,0.017366,1960000
1400,1468600,0.014310,1960000
1400,1958600,0.011029,1960000
1500,3000,0.011289,2250000
1500,561000,0.016345,2250000
1500,1123500,0.019678,2250000
1500,1686000,0.016331,2250000
1500,2248500,0.012522,2250000
1600,3200,0.012757,2560000
1600,638400,0.018473,2560000
1600,1278400,0.021965,2560000
1600,1918400,0.018485,2560000
1600,2558400,0.014221,2560000
