Vertices,Edges,Elapsed Time,Key Comparisons
100,200,0.000070,10000
100,2400,0.000120,10000
100,4900,0.000120,10000
100,7400,0.000110,10000
100,9900,0.000070,10000
200,400,0.000235,40000
200,9800,0.000380,40000
200,19800,0.000445,40000
200,29800,0.000350,40000
200,39800,0.000270,40000
300,600,0.000493,90000
300,22200,0.000800,90000
300,44700,0.000950,90000
300,67200,0.000807,90000
300,89700,0.000547,90000
400,800,0.000822,160000
400,39600,0.001437,160000
400,79600,0.001630,160000
400,119600,0.001297,160000
400,159600,0.001005,160000
500,1000,0.001250,250000
500,62000,0.002150,250000
500,124500,0.002424,250000
500,187000,0.001968,250000
500,249500,0.001448,250000
600,1200,0.001770,360000
600,89400,0.002993,360000
600,179400,0.003453,360000
600,269400,0.002865,360000
600,359400,0.002062,360000
700,1400,0.002379,490000
700,121800,0.004030,490000
700,244300,0.004560,490000
700,366800,0.003757,490000
700,489300,0.002777,490000
800,1600,0.003093,640000
800,159200,0.005171,640000
800,319200,0.005866,640000
800,479200,0.004765,640000
800,639200,0.003662,640000
900,1800,0.003879,810000
900,201600,0.006213,810000
900,404100,0.007392,810000
900,606600,0.005980,810000
900,809100,0.004487,810000
1000,2000,0.004839,1000000
1000,249000,0.007656,1000000
1000,499000,0.009020,1000000
1000,749000,0.007330,1000000
1000,999000,0.005585,1000000
1100,2200,0.005759,1210000
1100,301400,0.009214,1210000
1100,603900,0.010858,1210000
1100,906400,0.008924,1210000
1100,1208900,0.006738,1210000
1200,2400,0.006905,1440000
1200,358800,0.011322,1440000
1200,718800,0.012815,1440000
1200,1078800,0.010543,1440000
1200,1438800,0.007921,1440000
1300,2600,0.007950,1690000
1300,421200,0.012227,1690000
1300,843700,0.014726,1690000
1300,1266200,0.012448,1690000
1300,1688700,0.009455,1690000
1400,2800,0.009367,1960000
1400,488600,0.014325,1960000
1400,978600,0.017455,1960000
1400,1468600,0.014326,1960000
1400,1958600,0.010799,1960000
1500,3000,0.010707,2250000
1500,561000,0.016480,2250000
