Array Size,Key comparisons,Execution time 
1000,10062,0
2000,21396,0
3000,31403,2
4000,45640,0
5000,53480,1
6000,66892,1
7000,81285,1
8000,96780,1
9000,99505,1
10000,113222,2
11000,126820,2
12000,140543,2
13000,155942,3
14000,170823,2
15000,186390,3
16000,202357,3
17000,204705,3
18000,210271,4
19000,223974,3
20000,237717,4
21000,251381,4
22000,266422,4
23000,281439,7
24000,296163,4
25000,311379,6
26000,326006,5
27000,341922,5
28000,356902,6
29000,373110,5
30000,388921,5
31000,406763,6
32000,422312,6
33000,434949,7
34000,429339,6
35000,426741,7
36000,440409,7
37000,455076,7
38000,468935,8
39000,483190,8
40000,497867,7
41000,512538,8
42000,527583,8
43000,542200,8
44000,557464,8
45000,572353,8
46000,588184,8
47000,603670,10
48000,618258,8
49000,634809,10
50000,650381,10
51000,665771,10
52000,682277,12
53000,698664,10
54000,713344,8
55000,730013,10
56000,746591,10
57000,762930,12
58000,779868,12
59000,795118,12
60000,813006,12
61000,828081,14
62000,845512,12
63000,863156,12
64000,880797,14
65000,897497,12
66000,905017,12
67000,900519,12
68000,894293,14
69000,889302,14
70000,890582,14
71000,905661,14
72000,920102,14
73000,934809,14
74000,949873,14
75000,964947,14
76000,979629,14
77000,994876,14
78000,1010380,14
79000,1024765,17
80000,1039158,16
81000,1054503,14
82000,1070056,16
83000,1086282,17
84000,1101447,17
85000,1116809,18
86000,1131716,17
87000,1147705,18
88000,1161854,17
89000,1177453,17
90000,1195338,17
91000,1209198,20
92000,1226197,17
93000,1241968,18
94000,1257015,17
95000,1273222,17
96000,1290072,17
97000,1305943,17
98000,1321189,18
99000,1337152,20
100000,1353599,18
101000,1370764,21
102000,1386095,21
103000,1403110,20
104000,1419314,20
105000,1435231,21
106000,1452086,21
107000,1467982,21
108000,1485517,21
109000,1502257,21
110000,1517749,25
111000,1535466,21
112000,1552960,24
113000,1569581,21
114000,1586758,21
115000,1602787,22
116000,1619045,24
117000,1637667,24
118000,1654659,24
119000,1671659,22
120000,1690538,25
121000,1706612,25
122000,1725144,24
123000,1740001,24
124000,1758972,22
125000,1776946,29
126000,1796312,28
127000,1809944,26
128000,1830574,28
129000,1845723,58
130000,1863707,25
131000,1885957,25
132000,1879992,26
133000,1875476,25
134000,1869533,29
135000,1865453,25
136000,1861914,28
137000,1855587,26
138000,1852101,28
139000,1847493,29
140000,1857272,29
141000,1871774,28
142000,1887356,28
143000,1902344,29
144000,1916677,29
145000,1932285,32
146000,1947337,29
147000,1963007,29
148000,1977963,32
149000,1994558,35
150000,2009998,35
151000,2024601,30
152000,2040826,32
153000,2055425,35
154000,2071342,34
155000,2086930,30
156000,2102567,35
157000,2117853,42
158000,2133311,33
159000,2150063,32
160000,2164831,35
161000,2180916,37
162000,2195681,32
163000,2211114,33
164000,2226391,32
165000,2244145,33
166000,2259244,33
167000,2274385,35
168000,2291113,37
169000,2306966,33
170000,2321892,33
171000,2339091,34
172000,2354481,35
173000,2370073,35
174000,2387727,37
175000,2402549,40
176000,2418615,34
177000,2434491,35
178000,2450969,35
179000,2467741,36
180000,2481983,35
181000,2497870,35
182000,2516148,36
183000,2531586,36
184000,2548200,38
185000,2563590,37
186000,2581870,37
187000,2599362,43
188000,2612946,37
189000,2630217,37
190000,2647402,41
191000,2663301,38
192000,2679397,41
