Array Size,Threshold Size,Key comparisons,Execution time
1000,1,8329,0.000000
1000,6,8460,0.000000
1000,11,8692,0.000000
1000,16,9969,0.000000
1000,21,9860,0.000000
1000,26,10049,0.001000
1000,31,13112,0.001000
1000,36,12991,0.000000
1000,41,12961,0.001000
1000,46,13269,0.000000
1000,51,12895,0.000000
1000,56,13324,0.000000
1000,61,16399,0.000000
1000,66,19761,0.000000
1000,71,20566,0.001000
1000,76,19544,0.001000
1000,81,18847,0.001000
1000,86,19712,0.000000
1000,91,19626,0.000000
1000,96,20373,0.000000
10000,1,106381,0.003000
10000,6,107449,0.002000
10000,11,113080,0.002000
10000,16,112889,0.002000
10000,21,129459,0.001000
10000,26,129333,0.002000
10000,31,129764,0.001000
10000,36,129409,0.002000
10000,41,169799,0.003000
10000,46,169534,0.007000
10000,51,170248,0.005000
10000,56,170195,0.003000
10000,61,169441,0.003000
10000,66,170423,0.002000
10000,71,169202,0.003000
10000,76,170433,0.003000
10000,81,258899,0.006000
10000,86,262313,0.003000
10000,91,259356,0.003000
10000,96,258041,0.003000
100000,1,1250455,0.032000
100000,6,1271186,0.024000
100000,11,1333842,0.022000
100000,16,1353619,0.021000
100000,21,1353031,0.020000
100000,26,1576622,0.022000
100000,31,1576826,0.025000
100000,36,1575196,0.022000
100000,41,1576546,0.023000
100000,46,1577477,0.020000
100000,51,2101585,0.025000
100000,56,2099348,0.024000
100000,61,2092606,0.024000
100000,66,2094794,0.023000
100000,71,2092965,0.023000
100000,76,2101513,0.029000
100000,81,2099107,0.025000
100000,86,2095440,0.023000
100000,91,2096561,0.024000
100000,96,2479348,0.028000
1000000,1,14219723,0.266000
1000000,6,14366034,0.230000
1000000,11,14617716,0.222000
1000000,16,15767232,0.212000
1000000,21,15769741,0.212000
1000000,26,15776641,0.216000
1000000,31,18737099,0.222000
1000000,36,18735188,0.223000
1000000,41,18745895,0.223000
1000000,46,18731241,0.224000
1000000,51,18734929,0.222000
1000000,56,18743068,0.222000
1000000,61,25451189,0.261000
1000000,66,25451532,0.260000
1000000,71,25454046,0.259000
1000000,76,25451572,0.259000
1000000,81,25457052,0.263000
1000000,86,25460903,0.261000
1000000,91,25464001,0.265000
1000000,96,25463563,0.263000
10000000,1,159153360,2.975000
10000000,6,160161362,2.528000
10000000,11,165481124,2.404000
10000000,16,165479774,2.408000
10000000,21,181388114,2.382000
10000000,26,181407192,2.353000
10000000,31,181405630,2.350000
10000000,36,181406308,2.349000
10000000,41,220423336,2.529000
10000000,46,220385738,2.532000
10000000,51,220385165,2.552000
10000000,56,220407521,3.063000
10000000,61,220410921,2.598000
10000000,66,220364340,2.761000
10000000,71,220354081,2.653000
10000000,76,306511211,3.149000
10000000,81,306503846,3.104000
10000000,86,306523420,3.071000
10000000,91,306502561,3.106000
10000000,96,306608571,3.100000
