Threshold Size,Key Comparisons,Elapsed Time
1,183834045,3.802000
2,183835341,3.757000
3,183835451,3.750000
4,183833791,3.785000
5,183831385,3.795000
6,183835737,3.780000
7,183836668,3.763000
8,183835990,3.852000
9,183832752,3.935000
10,183833986,3.886000
11,183833977,3.731000
12,183832362,3.735000
13,183833477,3.724000
14,183831911,3.723000
15,183834604,3.728000
16,183830171,3.737000
17,183830724,3.735000
18,183832837,3.750000
19,183830880,3.734000
20,183834488,3.733000
21,183830833,3.740000
22,183831119,3.733000
23,183835496,3.728000
24,183841710,3.726000
25,183831530,3.735000
26,183834174,3.724000
27,183830630,3.745000
28,183833833,3.735000
29,183833884,3.730000
30,183832883,3.736000
31,183833637,3.736000
32,183828984,3.733000
33,183831332,3.761000
34,183832292,3.817000
35,183836777,3.825000
36,183831519,3.887000
37,183830740,3.723000
38,183829863,3.734000
39,183832306,3.748000
40,183831893,3.741000
41,183832492,3.732000
42,183835941,3.763000
43,183834739,3.731000
44,183829406,3.738000
45,183835812,3.735000
46,183828658,3.734000
47,183829920,3.740000
48,183829721,3.740000
49,183836931,3.737000
50,183835053,3.758000
51,183831282,3.729000
52,183830408,3.740000
53,183829820,3.760000
54,183828911,3.786000
55,183829516,3.864000
56,183833255,3.839000
57,183829450,3.820000
58,183836986,3.778000
59,183831110,3.730000
60,183832217,3.749000
61,183830777,3.786000
62,183834963,3.812000
63,183832053,3.794000
64,183832957,3.789000
65,183831704,3.826000
66,183835364,3.783000
67,183832347,3.750000
68,183830877,3.774000
69,183832302,3.799000
70,183835078,3.806000
71,183831242,3.767000
72,183832919,3.738000
73,183833790,3.744000
74,183839297,3.746000
75,183829639,3.771000
76,183835321,3.782000
77,183832890,3.771000
78,183833406,3.732000
79,183835608,3.798000
80,183834157,3.754000
81,183832474,3.752000
82,183834331,3.779000
83,183832762,3.824000
84,183830081,3.794000
85,183836123,3.846000
86,183828349,3.860000
87,183836533,3.740000
88,183835108,3.798000
89,183833150,3.754000
90,183829026,3.701000
91,183836011,3.768000
92,183833216,3.776000
93,183836566,3.808000
94,183831586,3.730000
95,183831872,3.756000
96,183832848,3.757000
97,183834474,3.775000
98,183829118,3.719000
99,183833259,3.780000
100,183831871,3.755000
