Threshold Size,Key Comparisons,Elapsed Time
1,183832153,3.308000
2,183832311,3.105000
3,183952804,3.046000
4,184838938,2.861000
5,184838362,2.863000
6,184837977,2.870000
7,184838371,2.850000
8,186883595,2.805000
9,190152413,2.731000
10,190147763,2.716000
11,190154830,2.729000
12,190155085,2.729000
13,190140803,2.723000
14,190149666,2.685000
15,190146610,2.742000
16,190146999,2.729000
17,190152663,2.726000
18,204731328,2.722000
19,206044489,2.705000
20,206066875,2.700000
21,206055885,2.699000
22,206046149,2.690000
23,206040565,2.705000
24,206071620,2.729000
25,206031212,2.699000
26,206066115,2.710000
27,206046021,2.741000
28,206043086,2.713000
29,206077995,2.742000
30,206056947,2.929000
31,206056317,2.709000
32,206052373,2.698000
33,206045773,2.701000
34,206068912,2.723000
35,206048998,2.707000
36,206046726,2.700000
37,238978706,2.842000
38,244989229,2.908000
39,244996405,3.012000
40,244984850,2.880000
41,244964792,2.885000
42,244953913,2.911000
43,244978923,2.848000
44,245004842,2.886000
45,244966249,2.896000
46,244991243,2.920000
47,244978319,2.895000
48,244988530,2.904000
49,245010235,2.898000
50,244968381,2.853000
51,244960994,3.191000
52,244964433,2.941000
53,244988283,2.996000
54,244961866,2.901000
55,245007217,2.902000
56,244985165,2.908000
57,245024008,2.886000
58,244998752,2.887000
59,244984290,2.877000
60,245015378,2.914000
61,244972301,2.938000
62,244972178,2.970000
63,244996319,2.916000
64,244961191,2.913000
65,244990547,2.899000
66,244968970,2.963000
67,244985746,2.918000
68,244989732,2.904000
69,244984283,2.852000
70,244958039,2.897000
71,244992196,2.913000
72,244976658,2.903000
73,244981540,2.906000
74,245025353,2.888000
75,305305510,3.384000
76,331113670,3.522000
77,331053486,3.424000
78,331019960,3.447000
79,331096978,3.435000
80,331089479,3.417000
81,331076691,3.432000
82,331029453,3.436000
83,331120333,3.405000
84,331056075,3.474000
85,331059841,3.501000
86,331163980,3.420000
87,331068682,3.426000
88,330995205,3.436000
89,331123860,3.417000
90,331085069,3.405000
91,331077093,3.429000
92,331051977,3.434000
93,331147665,3.416000
94,331123397,3.411000
95,330986839,3.411000
96,331099251,3.413000
97,331064003,3.405000
98,331080359,3.425000
99,331081524,3.415000
100,331100467,3.437000
