Array Size,Key comparisons,Execution time 
1000,10163,0.000000
2000,22619,0.001000
3000,33815,0.000000
4000,49302,0.001000
5000,58224,0.001000
6000,72963,0.002000
7000,89134,0.002000
8000,105843,0.001000
9000,115800,0.002000
10000,125662,0.002000
11000,141491,0.002000
12000,157099,0.002000
13000,173406,0.003000
14000,190831,0.003000
15000,208106,0.003000
16000,225503,0.003000
17000,244673,0.003000
18000,247409,0.004000
19000,253224,0.004000
20000,268850,0.004000
21000,285734,0.005000
22000,301340,0.007000
23000,318471,0.005000
24000,334613,0.006000
25000,352452,0.006000
26000,369539,0.006000
27000,387629,0.006000
28000,405543,0.007000
29000,423190,0.006000
30000,440287,0.006000
31000,458896,0.008000
32000,478498,0.008000
33000,497611,0.007000
34000,517530,0.008000
35000,531614,0.008000
36000,524239,0.008000
37000,520961,0.008000
38000,537539,0.009000
39000,553753,0.009000
40000,570915,0.009000
41000,586812,0.011000
42000,604443,0.009000
43000,621399,0.010000
44000,638457,0.010000
45000,655977,0.010000
46000,673001,0.010000
47000,690910,0.011000
48000,708728,0.012000
49000,725755,0.012000
50000,743808,0.011000
51000,762275,0.012000
52000,780315,0.011000
53000,798518,0.012000
54000,815915,0.011000
55000,835002,0.014000
56000,852981,0.013000
57000,871138,0.013000
58000,890662,0.014000
59000,910726,0.014000
60000,928271,0.014000
61000,948079,0.014000
62000,966879,0.014000
63000,986392,0.017000
64000,1005472,0.016000
65000,1025738,0.016000
66000,1045957,0.017000
67000,1064338,0.016000
68000,1083562,0.016000
69000,1105818,0.016000
70000,1115124,0.018000
71000,1109133,0.017000
72000,1102978,0.019000
73000,1096472,0.023000
74000,1096989,0.017000
75000,1114259,0.018000
76000,1131921,0.018000
77000,1148687,0.018000
78000,1166170,0.018000
79000,1183360,0.019000
80000,1200906,0.018000
81000,1218392,0.019000
82000,1234886,0.018000
83000,1253001,0.019000
84000,1271106,0.019000
85000,1289044,0.022000
86000,1307074,0.021000
87000,1323933,0.019000
88000,1341237,0.020000
89000,1358805,0.020000
90000,1377777,0.020000
91000,1395163,0.021000
92000,1413704,0.027000
93000,1432500,0.023000
94000,1449145,0.022000
95000,1469182,0.023000
96000,1487712,0.021000
97000,1505402,0.023000
98000,1521795,0.022000
99000,1541086,0.023000
100000,1559869,0.024000
101000,1579093,0.028000
102000,1597510,0.026000
103000,1614661,0.024000
104000,1633744,0.024000
105000,1653730,0.025000
106000,1671835,0.025000
107000,1691423,0.027000
108000,1710330,0.025000
109000,1728625,0.026000
110000,1748953,0.024000
111000,1766815,0.026000
112000,1786602,0.026000
113000,1805874,0.026000
114000,1823003,0.026000
115000,1844399,0.026000
116000,1863928,0.031000
117000,1882194,0.028000
118000,1901827,0.027000
119000,1921181,0.028000
120000,1942597,0.028000
121000,1961328,0.029000
122000,1980042,0.029000
123000,1999868,0.028000
124000,2020078,0.035000
125000,2040598,0.029000
126000,2060732,0.034000
127000,2080429,0.031000
128000,2100464,0.029000
129000,2119554,0.029000
130000,2141543,0.034000
131000,2159640,0.033000
132000,2182058,0.032000
133000,2202334,0.031000
134000,2222680,0.033000
135000,2242465,0.033000
136000,2263998,0.033000
137000,2283982,0.032000
138000,2304089,0.032000
139000,2326229,0.034000
140000,2325490,0.034000
141000,2321188,0.033000
142000,2316204,0.035000
143000,2311710,0.034000
144000,2304356,0.034000
145000,2296692,0.036000
146000,2292242,0.036000
147000,2288742,0.036000
148000,2294413,0.038000
149000,2313129,0.036000
150000,2330941,0.038000
151000,2347528,0.036000
152000,2367221,0.041000
153000,2384872,0.037000
154000,2403520,0.038000
155000,2420710,0.039000
156000,2437769,0.038000
157000,2455292,0.038000
158000,2473320,0.039000
159000,2491722,0.037000
160000,2509179,0.039000
161000,2526313,0.043000
162000,2546245,0.040000
163000,2564385,0.040000
164000,2581309,0.040000
165000,2598530,0.042000
166000,2616509,0.038000
167000,2636489,0.039000
168000,2652985,0.045000
169000,2671777,0.043000
170000,2691869,0.049000
171000,2708527,0.049000
172000,2726547,0.040000
173000,2745255,0.047000
174000,2765027,0.049000
175000,2783985,0.041000
176000,2800612,0.047000
177000,2818783,0.045000
178000,2836642,0.065000
179000,2854956,0.054000
180000,2874992,0.048000
181000,2893487,0.045000
182000,2912330,0.046000
183000,2928760,0.049000
184000,2947083,0.054000
185000,2967648,0.049000
186000,2985728,0.053000
187000,3004974,0.047000
188000,3026392,0.048000
189000,3042553,0.050000
190000,3062321,0.047000
191000,3080867,0.047000
192000,3101097,0.048000
193000,3118620,0.052000
194000,3137247,0.048000
195000,3155314,0.050000
196000,3174382,0.047000
197000,3195222,0.053000
198000,3212669,0.048000
199000,3233023,0.052000
200000,3251338,0.052000
201000,3271555,0.054000
202000,3290973,0.049000
203000,3309092,0.047000
204000,3328458,0.049000
205000,3346410,0.048000
206000,3367026,0.052000
207000,3386073,0.050000
208000,3405862,0.053000
209000,3424397,0.053000
210000,3444901,0.051000
211000,3462797,0.058000
212000,3482465,0.052000
213000,3501891,0.051000
214000,3519887,0.056000
215000,3540239,0.050000
216000,3559591,0.051000
217000,3580679,0.051000
218000,3599586,0.052000
219000,3620263,0.053000
220000,3638288,0.052000
221000,3658696,0.057000
222000,3678370,0.055000
223000,3698561,0.059000
224000,3716322,0.055000
225000,3736838,0.057000
226000,3757349,0.056000
227000,3778551,0.054000
228000,3795176,0.059000
229000,3816139,0.062000
230000,3839233,0.059000
231000,3855695,0.058000
232000,3877518,0.058000
233000,3898766,0.063000
234000,3916003,0.057000
235000,3937962,0.059000
236000,3957862,0.059000
237000,3978867,0.061000
238000,3997324,0.058000
239000,4017619,0.056000
240000,4038098,0.057000
241000,4058880,0.064000
242000,4078149,0.063000
243000,4097719,0.066000
244000,4118149,0.077000
245000,4139748,0.066000
246000,4159033,0.059000
247000,4182270,0.072000
248000,4199469,0.062000
249000,4222288,0.067000
250000,4239494,0.064000
251000,4262001,0.061000
252000,4284194,0.061000
253000,4303328,0.062000
254000,4323257,0.063000
255000,4343808,0.063000
256000,4366384,0.062000
257000,4384302,0.064000
258000,4408530,0.064000
259000,4426145,0.067000
260000,4449076,0.066000
261000,4466702,0.070000
262000,4489535,0.065000
263000,4508569,0.074000
264000,4530782,0.072000
265000,4550650,0.068000
266000,4573039,0.073000
267000,4595244,0.075000
268000,4614823,0.066000
269000,4639079,0.065000
270000,4658559,0.064000
271000,4677733,0.070000
272000,4699681,0.068000
273000,4721330,0.065000
274000,4740614,0.067000
275000,4764081,0.070000
276000,4784005,0.069000
277000,4805778,0.066000
278000,4824285,0.073000
279000,4833960,0.068000
280000,4829629,0.075000
281000,4824590,0.075000
282000,4821668,0.071000
283000,4816427,0.071000
284000,4810647,0.070000
285000,4803614,0.076000
286000,4800835,0.075000
287000,4795385,0.072000
288000,4793049,0.072000
289000,4785277,0.070000
290000,4782840,0.072000
291000,4775023,0.071000
292000,4769719,0.076000
293000,4765750,0.072000
294000,4761252,0.074000
295000,4758239,0.079000
296000,4776845,0.075000
297000,4796329,0.072000
298000,4813558,0.075000
299000,4831626,0.078000
300000,4850632,0.075000
301000,4868222,0.079000
302000,4886362,0.080000
303000,4907377,0.077000
304000,4925281,0.074000
305000,4941713,0.082000
306000,4960865,0.086000
307000,4979577,0.075000
308000,4997881,0.076000
309000,5014713,0.076000
310000,5036006,0.080000
311000,5053068,0.076000
312000,5072445,0.078000
313000,5090502,0.080000
314000,5108982,0.076000
315000,5126279,0.079000
316000,5145618,0.082000
317000,5163536,0.080000
318000,5182667,0.079000
319000,5201854,0.077000
320000,5219748,0.081000
321000,5236967,0.078000
322000,5255514,0.080000
323000,5276098,0.084000
324000,5291438,0.085000
325000,5310137,0.083000
326000,5331476,0.082000
327000,5350022,0.085000
328000,5366199,0.083000
329000,5384256,0.081000
330000,5403172,0.081000
331000,5424306,0.084000
332000,5442580,0.090000
333000,5461159,0.085000
334000,5480091,0.084000
335000,5500132,0.083000
336000,5518739,0.085000
337000,5536191,0.086000
338000,5553213,0.090000
339000,5574454,0.090000
340000,5592855,0.089000
341000,5611323,0.089000
342000,5633919,0.087000
343000,5649834,0.089000
344000,5667272,0.087000
345000,5687935,0.085000
346000,5705899,0.085000
347000,5726898,0.087000
348000,5747829,0.087000
349000,5764768,0.085000
350000,5784028,0.086000
351000,5801529,0.087000
352000,5818498,0.087000
353000,5837945,0.087000
354000,5858960,0.089000
355000,5876425,0.089000
356000,5896514,0.087000
357000,5914467,0.088000
358000,5933237,0.087000
359000,5952290,0.089000
360000,5971004,0.090000
361000,5990532,0.087000
362000,6008893,0.091000
363000,6027343,0.091000
364000,6049661,0.091000
365000,6066974,0.091000
366000,6087515,0.090000
367000,6107914,0.095000
368000,6126104,0.093000
369000,6146139,0.092000
370000,6163035,0.091000
371000,6183969,0.095000
372000,6203455,0.095000
373000,6222331,0.097000
374000,6240844,0.098000
375000,6259058,0.096000
376000,6282644,0.094000
377000,6300806,0.094000
378000,6321478,0.097000
379000,6336557,0.099000
380000,6357442,0.094000
381000,6378642,0.097000
382000,6398026,0.100000
383000,6414876,0.092000
384000,6434940,0.094000
385000,6450970,0.095000
386000,6475169,0.102000
387000,6492314,0.097000
388000,6514210,0.097000
389000,6531958,0.103000
390000,6552688,0.098000
391000,6571925,0.098000
392000,6592751,0.110000
393000,6610432,0.098000
394000,6627783,0.104000
395000,6648162,0.097000
396000,6670273,0.102000
397000,6689379,0.097000
398000,6710764,0.101000
399000,6727486,0.102000
400000,6747432,0.102000
401000,6766159,0.112000
402000,6789456,0.106000
403000,6808986,0.107000
404000,6827945,0.112000
405000,6848595,0.102000
406000,6867655,0.099000
407000,6886848,0.107000
408000,6908419,0.106000
409000,6928003,0.111000
410000,6946231,0.104000
411000,6965337,0.105000
412000,6985217,0.111000
413000,7005611,0.108000
414000,7028972,0.103000
415000,7043683,0.104000
416000,7062710,0.111000
417000,7084639,0.105000
418000,7104201,0.110000
419000,7124357,0.111000
420000,7143638,0.120000
421000,7163220,0.109000
422000,7186610,0.115000
423000,7202697,0.108000
