Threshold Size,Key comparisons,Execution time 
10,1272043,0.024000
110,3234119,0.031000
210,5563088,0.061000
310,5571162,0.051000
410,10375113,0.080000
510,10370836,0.080000
610,10363893,0.080000
710,10377801,0.081000
810,19943317,0.147000
910,20055534,0.156000
1010,20044464,0.149000
1110,20041057,0.146000
1210,20018473,0.148000
1310,20066272,0.149000
1410,20009891,0.148000
1510,20137172,0.148000
1610,39400756,0.287000
1710,39293623,0.284000
1810,39460673,0.286000
1910,39631069,0.287000
2010,39537719,0.291000
2110,39335776,0.283000
2210,39456756,0.284000
2310,39535237,0.286000
2410,39412004,0.287000
2510,39425546,0.284000
2610,39342510,0.292000
2710,39585197,0.289000
2810,39401989,0.292000
2910,39489971,0.294000
3010,39524728,0.298000
3110,39466667,0.294000
3210,78357789,0.569000
3310,78241266,0.560000
3410,78359376,0.560000
3510,78216150,0.567000
3610,78467828,0.565000
3710,78593591,0.567000
3810,78510436,0.569000
3910,78355334,0.568000
4010,78369852,0.562000
4110,78472866,0.566000
4210,78361169,0.574000
4310,78333793,0.566000
4410,78655471,0.574000
4510,78566302,0.565000
4610,78429022,0.567000
4710,78368924,0.559000
4810,78423195,0.601000
4910,78282996,0.569000
5010,78436175,0.566000
5110,78357865,0.562000
5210,78307509,0.563000
5310,78416467,0.566000
5410,78165718,0.561000
5510,78549649,0.566000
5610,78211236,0.563000
5710,78604374,0.570000
5810,78089068,0.564000
5910,78353180,0.565000
6010,78380872,0.566000
6110,78375029,0.559000
6210,78349450,0.563000
6310,156022132,1.134000
6410,156637769,1.144000
6510,156147975,1.129000
6610,156766004,1.130000
6710,156227268,1.130000
6810,156159108,1.136000
6910,155580569,1.126000
7010,157185308,1.140000
7110,156377870,1.126000
7210,156896659,1.140000
7310,156849154,1.148000
7410,156533403,1.145000
7510,157211152,1.145000
7610,156579192,1.124000
7710,156141494,1.128000
7810,156382333,1.139000
7910,156340071,1.142000
8010,156027190,1.155000
8110,156662006,1.143000
8210,156966321,1.127000
8310,156134016,1.126000
8410,156630627,1.139000
8510,156130182,1.131000
8610,156282314,1.131000
8710,156268095,1.136000
8810,155837187,1.160000
8910,155945423,1.168000
9010,156553846,1.148000
9110,156447421,1.193000
9210,156866267,1.205000
9310,156932197,1.163000
9410,156570758,1.178000
9510,155904348,1.152000
9610,156169049,1.217000
9710,155970154,1.553000
9810,156143270,1.508000
9910,156463389,1.462000
10010,156223242,1.218000
10110,156510997,1.134000
10210,157045784,1.146000
