Threshold Size,Key comparisons,Execution time 
1,1250828,0.034000
2,1250268,0.031000
3,1250673,0.031000
4,1250337,0.030000
5,1250401,0.031000
6,1250634,0.031000
7,1250230,0.030000
8,1250395,0.030000
9,1250646,0.031000
10,1250821,0.030000
11,1250375,0.030000
12,1250652,0.031000
13,1250632,0.031000
14,1250906,0.031000
15,1249934,0.031000
16,1250663,0.030000
17,1250599,0.030000
18,1250381,0.031000
19,1250223,0.031000
20,1250055,0.030000
21,1250192,0.032000
22,1250174,0.030000
23,1250442,0.031000
24,1250586,0.031000
25,1249923,0.032000
26,1250895,0.031000
27,1250570,0.031000
28,1250800,0.032000
29,1250564,0.030000
30,1250357,0.030000
31,1250164,0.030000
32,1250254,0.031000
33,1250771,0.030000
34,1250626,0.031000
35,1250488,0.030000
36,1250394,0.033000
37,1250682,0.032000
38,1250890,0.031000
39,1250373,0.030000
40,1250315,0.031000
41,1250406,0.035000
42,1250268,0.032000
43,1250678,0.033000
44,1250235,0.032000
45,1250526,0.036000
46,1250717,0.030000
47,1250510,0.031000
48,1250236,0.031000
49,1250795,0.030000
50,1250731,0.030000
51,1250653,0.031000
52,1250120,0.031000
53,1250779,0.030000
54,1250273,0.030000
55,1249878,0.030000
56,1250122,0.031000
57,1250275,0.031000
58,1250640,0.031000
59,1250253,0.031000
60,1250825,0.031000
61,1250307,0.030000
62,1250323,0.030000
63,1250259,0.031000
64,1250805,0.030000
65,1250612,0.031000
66,1250577,0.032000
67,1250367,0.030000
68,1250101,0.030000
69,1250458,0.030000
70,1250482,0.031000
71,1250404,0.030000
72,1250741,0.030000
73,1250149,0.030000
74,1250547,0.031000
75,1250430,0.030000
76,1250538,0.030000
77,1250564,0.030000
78,1250540,0.031000
79,1250459,0.030000
80,1250553,0.030000
81,1250707,0.032000
82,1250377,0.032000
83,1250605,0.030000
84,1250149,0.029000
85,1250822,0.032000
86,1250556,0.032000
87,1250283,0.031000
88,1250076,0.030000
89,1250074,0.030000
90,1250036,0.031000
91,1250631,0.030000
92,1250695,0.031000
93,1250903,0.030000
94,1249985,0.030000
95,1250606,0.030000
96,1250477,0.031000
97,1250054,0.031000
98,1250400,0.030000
99,1250868,0.032000
100,1250211,0.032000
