Array Size,Threshold Size,Key comparisons,Execution time 
1000,1,8329,0.001000
1000,2,8353,0.000000
1000,3,8359,0.001000
1000,4,8405,0.000000
1000,5,8393,0.001000
1000,6,8514,0.000000
1000,7,8803,0.001000
1000,8,8694,0.000000
1000,9,8746,0.000000
1000,10,8780,0.001000
1000,11,8765,0.000000
1000,12,8768,0.001000
1000,13,8811,0.000000
1000,14,9163,0.000000
1000,15,9872,0.000000
1000,16,9931,0.000000
1000,17,9905,0.001000
1000,18,9849,0.000000
1000,19,9946,0.001000
1000,20,9893,0.000000
1000,21,9926,0.000000
1000,22,9999,0.001000
1000,23,9819,0.000000
1000,24,10010,0.001000
1000,25,9946,0.000000
1000,26,10007,0.000000
1000,27,9888,0.000000
1000,28,10029,0.000000
1000,29,10025,0.000000
1000,30,12221,0.000000
1000,31,12968,0.000000
1000,32,12993,0.000000
1000,33,12904,0.000000
1000,34,13319,0.000000
1000,35,13218,0.000000
1000,36,12952,0.000000
1000,37,13427,0.000000
1000,38,12981,0.000000
1000,39,13161,0.000000
1000,40,12975,0.000000
1000,41,13145,0.000000
1000,42,13072,0.000000
1000,43,13068,0.000000
1000,44,13032,0.000000
1000,45,12971,0.001000
1000,46,13065,0.000000
1000,47,12789,0.000000
1000,48,12905,0.001000
1000,49,12791,0.000000
1000,50,12976,0.000000
1000,51,12812,0.000000
1000,52,12742,0.000000
1000,53,13285,0.000000
1000,54,13162,0.000000
1000,55,12847,0.000000
1000,56,13092,0.000000
1000,57,12820,0.000000
1000,58,13136,0.001000
1000,59,12988,0.000000
1000,60,12780,0.000000
1000,61,16329,0.000000
1000,62,19518,0.000000
1000,63,19538,0.000000
1000,64,20149,0.000000
1000,65,20214,0.001000
1000,66,19881,0.001000
1000,67,20039,0.001000
1000,68,19755,0.001000
1000,69,19433,0.001000
1000,70,19797,0.000000
1000,71,19986,0.000000
1000,72,19763,0.001000
1000,73,20461,0.000000
1000,74,20018,0.000000
1000,75,20258,0.000000
1000,76,19443,0.000000
1000,77,19235,0.000000
1000,78,20060,0.000000
1000,79,20121,0.000000
1000,80,20408,0.001000
1000,81,19979,0.000000
1000,82,19675,0.000000
1000,83,19553,0.000000
1000,84,19825,0.000000
1000,85,20664,0.000000
1000,86,20176,0.000000
1000,87,20042,0.000000
1000,88,20499,0.000000
1000,89,19564,0.000000
1000,90,19860,0.000000
1000,91,19687,0.001000
1000,92,20597,0.000000
1000,93,19875,0.000000
1000,94,20482,0.000000
1000,95,20636,0.000000
1000,96,20395,0.001000
1000,97,20035,0.000000
1000,98,20719,0.000000
1000,99,19815,0.000000
1000,100,19571,0.000000
2000,1,18178,0.001000
2000,2,18190,0.001000
2000,3,18278,0.000000
2000,4,18297,0.000000
2000,5,18289,0.000000
2000,6,18346,0.000000
2000,7,19000,0.001000
2000,8,19011,0.000000
2000,9,19059,0.001000
2000,10,19060,0.000000
2000,11,19052,0.000000
2000,12,19084,0.001000
2000,13,19120,0.000000
2000,14,19810,0.000000
2000,15,21411,0.001000
2000,16,21466,0.000000
2000,17,21472,0.000000
2000,18,21476,0.000000
2000,19,21507,0.000000
2000,20,21499,0.000000
2000,21,21286,0.000000
2000,22,21513,0.000000
2000,23,21363,0.000000
2000,24,21447,0.000000
2000,25,21833,0.000000
2000,26,21565,0.000000
2000,27,21687,0.000000
2000,28,21600,0.000000
2000,29,21544,0.001000
2000,30,26003,0.001000
2000,31,27218,0.000000
2000,32,27037,0.001000
2000,33,27638,0.001000
2000,34,27770,0.000000
2000,35,27195,0.000000
2000,36,27423,0.000000
2000,37,27350,0.000000
2000,38,27842,0.001000
2000,39,27819,0.000000
2000,40,27301,0.001000
2000,41,27500,0.000000
2000,42,27289,0.001000
2000,43,27577,0.000000
2000,44,27496,0.001000
2000,45,27432,0.000000
2000,46,27615,0.000000
2000,47,27669,0.000000
2000,48,27435,0.000000
2000,49,27622,0.001000
2000,50,27440,0.000000
2000,51,27377,0.000000
2000,52,27769,0.000000
2000,53,27338,0.000000
2000,54,27722,0.001000
2000,55,27760,0.000000
2000,56,27192,0.001000
2000,57,27610,0.000000
2000,58,27054,0.000000
2000,59,27388,0.000000
2000,60,27901,0.000000
2000,61,35097,0.001000
2000,62,41343,0.000000
2000,63,41522,0.000000
2000,64,40546,0.001000
2000,65,41678,0.000000
