Algorithm,Key comparisons,Execution time 
Merge-Insertion Sort,181407452,2.391000
Merge Sort,159158061,3.478000
Merge-Insertion Sort,181398151,2.417000
Merge Sort,159153298,3.456000
Merge-Insertion Sort,181400060,2.362000
Merge Sort,159156926,3.453000
Merge-Insertion Sort,181398094,2.370000
Merge Sort,159156770,3.469000
Merge-Insertion Sort,181417392,2.361000
Merge Sort,159157912,3.471000
Merge-Insertion Sort,181422221,2.369000
Merge Sort,159159696,3.469000
Merge-Insertion Sort,181402571,2.379000
Merge Sort,159155717,3.468000
Merge-Insertion Sort,181407640,2.374000
Merge Sort,159155413,3.464000
Merge-Insertion Sort,181404355,2.364000
Merge Sort,159157756,3.473000
Merge-Insertion Sort,181403280,2.372000
Merge Sort,159155294,3.455000
Merge-Insertion Sort,181392838,2.370000
Merge Sort,159160600,3.456000
Merge-Insertion Sort,181405468,2.369000
Merge Sort,159152857,3.462000
Merge-Insertion Sort,181401291,2.375000
Merge Sort,159151078,3.504000
Merge-Insertion Sort,181386740,2.421000
Merge Sort,159152265,3.513000
Merge-Insertion Sort,181407315,2.364000
Merge Sort,159148317,3.459000
Merge-Insertion Sort,181403571,2.362000
Merge Sort,159149611,3.454000
Merge-Insertion Sort,181393497,2.364000
Merge Sort,159159663,3.460000
Merge-Insertion Sort,181401104,2.374000
Merge Sort,159151399,3.464000
Merge-Insertion Sort,181398862,2.365000
Merge Sort,159154835,3.461000
Merge-Insertion Sort,181401230,2.374000
Merge Sort,159152488,3.475000
Merge-Insertion Sort,181387696,2.358000
Merge Sort,159154791,3.464000
Merge-Insertion Sort,181409386,2.337000
Merge Sort,159154690,3.465000
Merge-Insertion Sort,181387157,2.348000
Merge Sort,159153956,3.462000
Merge-Insertion Sort,181397211,2.372000
Merge Sort,159157006,3.445000
Merge-Insertion Sort,181404370,2.347000
Merge Sort,159156595,3.494000
Merge-Insertion Sort,181407452,2.411000
Merge Sort,159158061,3.501000
Merge-Insertion Sort,181398151,2.371000
Merge Sort,159153298,3.459000
Merge-Insertion Sort,181400060,2.366000
Merge Sort,159156926,3.462000
Merge-Insertion Sort,181398094,2.347000
Merge Sort,159156770,3.459000
Merge-Insertion Sort,181417392,2.365000
Merge Sort,159157912,3.460000
Merge-Insertion Sort,181422221,2.381000
Merge Sort,159159696,3.449000
Merge-Insertion Sort,181402571,2.396000
Merge Sort,159155717,3.477000
Merge-Insertion Sort,181407640,2.355000
Merge Sort,159155413,3.482000
Merge-Insertion Sort,181404355,2.338000
Merge Sort,159157756,3.469000
Merge-Insertion Sort,181403280,2.338000
Merge Sort,159155294,3.482000
Merge-Insertion Sort,181392838,2.392000
Merge Sort,159160600,3.443000
