Array Size,Key comparisons,Execution time 
1000,8702,0.000000
2000,19373,0.000000
3000,30755,0.000000
4000,42606,0.001000
5000,54848,0.001000
6000,67262,0.001000
7000,79951,0.003000
8000,92819,0.003000
9000,105809,0.003000
10000,119119,0.004000
11000,132277,0.004000
12000,145667,0.003000
13000,159173,0.004000
14000,172810,0.004000
15000,186320,0.004000
16000,199929,0.004000
17000,213856,0.005000
18000,227702,0.006000
19000,241654,0.006000
20000,255753,0.008000
21000,269870,0.008000
22000,283849,0.006000
23000,298289,0.007000
24000,312429,0.007000
25000,326358,0.008000
26000,340629,0.008000
27000,354908,0.009000
28000,369399,0.009000
29000,383691,0.009000
30000,398018,0.010000
31000,412214,0.010000
32000,426827,0.013000
33000,440933,0.012000
34000,455967,0.011000
35000,470615,0.012000
36000,485227,0.012000
37000,500099,0.011000
38000,514947,0.012000
39000,529406,0.013000
40000,544327,0.012000
41000,558811,0.013000
42000,573686,0.014000
43000,588617,0.015000
44000,603327,0.014000
45000,618323,0.014000
46000,633104,0.015000
47000,647882,0.015000
48000,662532,0.016000
49000,677576,0.016000
50000,692470,0.016000
51000,707685,0.017000
52000,722385,0.017000
53000,737091,0.017000
54000,752543,0.018000
55000,767582,0.018000
56000,782131,0.020000
57000,797329,0.018000
58000,812415,0.019000
59000,827417,0.021000
60000,842424,0.020000
61000,857415,0.020000
62000,872394,0.021000
63000,887138,0.021000
64000,902142,0.021000
65000,917363,0.022000
66000,932588,0.021000
67000,947791,0.022000
68000,963468,0.023000
69000,978726,0.022000
70000,993873,0.023000
71000,1009572,0.023000
72000,1024624,0.024000
73000,1040103,0.024000
74000,1055587,0.024000
75000,1070937,0.025000
76000,1086113,0.025000
77000,1101742,0.025000
78000,1117109,0.026000
79000,1132391,0.026000
80000,1147579,0.028000
81000,1163288,0.027000
82000,1178217,0.027000
83000,1193924,0.029000
84000,1209563,0.028000
85000,1225072,0.029000
86000,1240480,0.029000
87000,1255746,0.030000
88000,1271432,0.030000
89000,1286534,0.031000
90000,1301940,0.030000
91000,1317375,0.030000
92000,1333141,0.033000
93000,1348107,0.032000
94000,1363953,0.031000
95000,1379070,0.032000
96000,1394548,0.031000
97000,1410155,0.033000
98000,1425519,0.032000
99000,1441265,0.033000
100000,1456792,0.034000
101000,1472437,0.035000
102000,1487959,0.035000
103000,1503591,0.035000
104000,1519031,0.034000
105000,1534544,0.035000
106000,1550371,0.036000
107000,1566293,0.037000
108000,1581293,0.037000
109000,1597013,0.037000
110000,1612817,0.038000
111000,1628216,0.038000
112000,1644131,0.037000
113000,1659354,0.038000
114000,1674948,0.038000
115000,1690548,0.040000
116000,1706539,0.040000
117000,1721865,0.039000
118000,1737382,0.041000
119000,1753000,0.043000
120000,1769078,0.041000
121000,1784468,0.044000
122000,1799709,0.042000
123000,1815647,0.042000
124000,1831009,0.042000
125000,1846423,0.042000
126000,1862360,0.043000
127000,1878047,0.044000
128000,1893682,0.043000
129000,1908986,0.044000
130000,1924858,0.045000
131000,1940221,0.045000
132000,1956761,0.043000
133000,1972214,0.046000
134000,1988149,0.045000
135000,2004517,0.046000
136000,2020439,0.046000
137000,2036205,0.046000
138000,2052297,0.047000
139000,2068120,0.048000
140000,2084273,0.048000
141000,2100045,0.049000
142000,2115795,0.049000
143000,2132364,0.049000
144000,2147961,0.052000
145000,2163942,0.050000
146000,2179727,0.052000
147000,2196019,0.054000
148000,2211781,0.054000
149000,2228068,0.054000
150000,2243662,0.052000
151000,2260098,0.052000
152000,2275810,0.053000
153000,2292274,0.052000
154000,2308031,0.054000
155000,2324282,0.054000
156000,2340055,0.054000
157000,2355459,0.054000
158000,2371450,0.053000
159000,2387499,0.055000
160000,2403672,0.056000
161000,2419536,0.056000
162000,2435839,0.055000
163000,2451350,0.061000
164000,2467516,0.059000
165000,2483686,0.059000
166000,2499729,0.060000
167000,2515711,0.059000
168000,2531636,0.057000
169000,2548303,0.059000
170000,2563691,0.059000
171000,2579687,0.059000
172000,2595972,0.059000
173000,2611944,0.062000
174000,2627303,0.060000
175000,2643755,0.060000
176000,2659695,0.061000
177000,2676413,0.062000
178000,2692229,0.061000
179000,2708176,0.063000
180000,2724163,0.063000
181000,2740243,0.064000
182000,2755986,0.074000
