Threshold Size,Key comparisons,Execution time 
10,1250828,0.034000
110,1250268,0.033000
210,1250673,0.031000
310,1250337,0.031000
410,1250401,0.032000
510,1250634,0.032000
610,1250230,0.031000
710,1250395,0.031000
810,1250646,0.033000
910,1250821,0.032000
1010,1250375,0.032000
1110,1250652,0.032000
1210,1250632,0.033000
1310,1250906,0.033000
1410,1249934,0.032000
1510,1250663,0.033000
1610,1250599,0.033000
1710,1250381,0.033000
1810,1250223,0.032000
1910,1250055,0.031000
2010,1250192,0.031000
2110,1250174,0.032000
2210,1250442,0.031000
2310,1250586,0.030000
2410,1249923,0.030000
2510,1250895,0.032000
2610,1250570,0.033000
2710,1250800,0.030000
2810,1250564,0.030000
2910,1250357,0.031000
3010,1250164,0.031000
3110,1250254,0.031000
3210,1250771,0.032000
3310,1250626,0.032000
3410,1250488,0.030000
3510,1250394,0.031000
3610,1250682,0.031000
3710,1250890,0.031000
3810,1250373,0.031000
3910,1250315,0.031000
4010,1250406,0.032000
4110,1250268,0.031000
4210,1250678,0.031000
4310,1250235,0.031000
4410,1250526,0.031000
4510,1250717,0.033000
4610,1250510,0.031000
4710,1250236,0.031000
4810,1250795,0.036000
4910,1250731,0.039000
5010,1250653,0.034000
5110,1250120,0.031000
5210,1250779,0.031000
5310,1250273,0.032000
5410,1249878,0.031000
5510,1250122,0.030000
5610,1250275,0.031000
5710,1250640,0.031000
5810,1250253,0.031000
5910,1250825,0.031000
6010,1250307,0.032000
6110,1250323,0.032000
6210,1250259,0.032000
6310,1250805,0.032000
6410,1250612,0.031000
6510,1250577,0.031000
6610,1250367,0.032000
6710,1250101,0.030000
6810,1250458,0.031000
6910,1250482,0.031000
7010,1250404,0.031000
7110,1250741,0.031000
7210,1250149,0.031000
7310,1250547,0.030000
7410,1250430,0.031000
7510,1250538,0.030000
7610,1250564,0.031000
7710,1250540,0.034000
7810,1250459,0.031000
7910,1250553,0.032000
8010,1250707,0.030000
8110,1250377,0.031000
8210,1250605,0.032000
8310,1250149,0.031000
8410,1250822,0.030000
8510,1250556,0.032000
8610,1250283,0.031000
8710,1250076,0.031000
8810,1250074,0.031000
8910,1250036,0.030000
9010,1250631,0.033000
9110,1250695,0.031000
9210,1250903,0.033000
9310,1249985,0.035000
9410,1250606,0.030000
9510,1250477,0.030000
9610,1250054,0.032000
