Array Size,Threshold Size,Key Comparisons,Elapsed Time
1000,1,8329,0.000000
1000,2,8331,0.000000
1000,3,8379,0.000000
1000,4,8379,0.000000
1000,5,8379,0.000000
1000,6,8469,0.000000
1000,7,8799,0.001000
1000,8,8799,0.000000
1000,9,8799,0.001000
1000,10,8799,0.000000
1000,11,8799,0.000000
1000,12,8799,0.000000
1000,13,8799,0.000000
1000,14,9216,0.000000
1000,15,10062,0.000000
1000,16,10062,0.000000
1000,17,10062,0.000000
1000,18,10062,0.000000
1000,19,10062,0.000000
1000,20,10062,0.000000
1000,21,10062,0.000000
1000,22,10062,0.001000
1000,23,10062,0.000000
1000,24,10062,0.000000
1000,25,10062,0.000000
1000,26,10062,0.001000
1000,27,10062,0.000000
1000,28,10062,0.001000
1000,29,10062,0.000000
1000,30,12298,0.000000
1000,31,12956,0.000000
1000,32,12956,0.000000
1000,33,12956,0.001000
1000,34,12956,0.000000
1000,35,12956,0.000000
1000,36,12956,0.000000
1000,37,12956,0.000000
1000,38,12956,0.000000
1000,39,12956,0.000000
1000,40,12956,0.000000
1000,41,12956,0.000000
1000,42,12956,0.000000
1000,43,12956,0.000000
1000,44,12956,0.000000
1000,45,12956,0.000000
1000,46,12956,0.000000
1000,47,12956,0.000000
1000,48,12956,0.000000
1000,49,12956,0.000000
1000,50,12956,0.001000
1000,51,12956,0.000000
1000,52,12956,0.000000
1000,53,12956,0.000000
1000,54,12956,0.000000
1000,55,12956,0.000000
1000,56,12956,0.000000
1000,57,12956,0.000000
1000,58,12956,0.000000
1000,59,12956,0.000000
1000,60,12956,0.000000
1000,61,16324,0.000000
1000,62,19773,0.001000
1000,63,19773,0.000000
1000,64,19773,0.000000
1000,65,19773,0.000000
1000,66,19773,0.000000
1000,67,19773,0.000000
1000,68,19773,0.000000
1000,69,19773,0.000000
1000,70,19773,0.000000
1000,71,19773,0.000000
1000,72,19773,0.000000
1000,73,19773,0.000000
1000,74,19773,0.000000
1000,75,19773,0.000000
1000,76,19773,0.000000
1000,77,19773,0.000000
1000,78,19773,0.000000
1000,79,19773,0.001000
1000,80,19773,0.001000
1000,81,19773,0.000000
1000,82,19773,0.000000
1000,83,19773,0.000000
1000,84,19773,0.000000
1000,85,19773,0.000000
1000,86,19773,0.000000
1000,87,19773,0.000000
1000,88,19773,0.000000
1000,89,19773,0.000000
1000,90,19773,0.000000
1000,91,19773,0.000000
1000,92,19773,0.000000
1000,93,19773,0.000000
1000,94,19773,0.000000
1000,95,19773,0.000000
1000,96,19773,0.000000
1000,97,19773,0.000000
1000,98,19773,0.000000
1000,99,19773,0.001000
1000,100,19773,0.001000
10000,1,116556,0.003000
10000,2,116585,0.002000
10000,3,116657,0.002000
10000,4,117613,0.002000
10000,5,117613,0.003000
10000,6,117613,0.002000
10000,7,117613,0.003000
10000,8,118651,0.002000
10000,9,123228,0.002000
10000,10,123228,0.003000
10000,11,123228,0.002000
10000,12,123228,0.002000
10000,13,123228,0.002000
10000,14,123228,0.002000
10000,15,123228,0.002000
10000,16,123228,0.002000
10000,17,123228,0.001000
10000,18,130670,0.002000
10000,19,139865,0.002000
10000,20,139865,0.002000
10000,21,139865,0.002000
10000,22,139865,0.002000
10000,23,139865,0.002000
10000,24,139865,0.002000
10000,25,139865,0.002000
10000,26,139865,0.002000
10000,27,139865,0.002000
10000,28,139865,0.002000
10000,29,139865,0.002000
10000,30,139865,0.003000
10000,31,139865,0.003000
10000,32,139865,0.002000
10000,33,139865,0.003000
10000,34,139865,0.003000
10000,35,139865,0.003000
10000,36,139865,0.002000
10000,37,139865,0.002000
10000,38,176533,0.002000
10000,39,179117,0.002000
10000,40,179117,0.002000
10000,41,179117,0.002000
10000,42,179117,0.003000
10000,43,179117,0.002000
10000,44,179117,0.002000
10000,45,179117,0.002000
10000,46,179117,0.002000
10000,47,179117,0.002000
10000,48,179117,0.002000
10000,49,179117,0.002000
10000,50,179117,0.003000
10000,51,179117,0.002000
10000,52,179117,0.003000
10000,53,179117,0.003000
